y,0,1,2,3,4
0,"[1581, 499, 507]","[1581, 499, 507]","[1581, 2244, 2180]","[1732, 542, 359]","[1581, 499, 507]"
0,"[2749, 961, 961]","[1784, 8289, 8219]","[1784, 885, 1246]","[1784, 885, 1246]","[1784, 885, 1246]"
0,"[7026, 3540, 3941]","[7026, 3540, 3941]","[7420, 5192, 5154]","[8788, 3540, 3941]","[7026, 3540, 3941]"
0,"[8022, 8467, 6663]","[8477, 8467, 6663]","[1437, 2153, 6876]","[2727, 3487, 6876]","[2727, 3487, 6876]"
0,"[1187, 2937, 7119]","[322, 1548, 6268]","[322, 1548, 6268]","[322, 1548, 6268]","[322, 1548, 6268]"
0,"[777, 1646, 1472]","[777, 8437, 8007]","[777, 1646, 1472]","[713, 1129, 388]","[777, 1646, 1472]"
0,"[312, 903, 1329]","[312, 1437, 2153]","[312, 1437, 2153]","[312, 1437, 2153]","[1712, 2727, 3487]"
1,"[7126, 7481, 4644]","[7126, 7481, 4644]","[8655, 8997, 4644]","[7126, 7481, 4644]","[7126, 7481, 4644]"
1,"[354, 424, 842]","[399, 387, 976]","[354, 424, 842]","[354, 424, 842]","[54, 387, 976]"
0,"[903, 1329, 8781]","[903, 1329, 6663]","[8022, 8467, 6663]","[2727, 3487, 6876]","[2727, 3487, 6876]"
0,"[4285, 2197, 257]","[4285, 2197, 257]","[4285, 2197, 257]","[4842, 3853, 2668]","[4842, 3853, 2668]"
0,"[3425, 679, 2642]","[3425, 679, 2642]","[3028, 284, 1887]","[3425, 679, 2642]","[3425, 679, 2642]"
0,"[499, 507, 2026]","[499, 507, 2026]","[2244, 2180, 3453]","[8352, 507, 2026]","[499, 507, 2026]"
1,"[8288, 8163, 740]","[683, 726, 740]","[683, 726, 740]","[2429, 1766, 1814]","[2429, 1766, 1814]"
0,"[88, 1474, 1930]","[477, 2671, 2854]","[477, 2671, 2854]","[477, 2671, 2854]","[477, 2671, 2854]"
1,"[927, 107, 2648]","[927, 107, 8107]","[927, 107, 2648]","[927, 107, 2648]","[1282, 400, 3198]"
0,"[3597, 3384, 1411]","[3111, 2771, 1319]","[3597, 3384, 1411]","[3597, 3384, 1411]","[3597, 3384, 1411]"
0,"[1220, 1260, 840]","[1220, 1260, 840]","[1220, 1260, 840]","[8111, 8012, 840]","[3575, 3714, 4080]"
0,"[8012, 840, 2369]","[1260, 840, 2369]","[1260, 840, 2369]","[1260, 840, 2369]","[1146, 717, 2049]"
1,"[1342, 1416, 1361]","[1342, 1416, 1361]","[1342, 1416, 1361]","[1342, 1416, 1361]","[1883, 942, 527]"
1,"[8423, 8497, 61]","[1269, 1528, 61]","[1269, 1528, 61]","[1269, 1528, 61]","[965, 762, 7]"
0,"[2184, 1771, 1470]","[2184, 1771, 8030]","[8491, 8333, 1470]","[2184, 1771, 1470]","[2654, 1043, 853]"
1,"[4900, 4280, 3324]","[4900, 4280, 3324]","[4900, 4280, 3324]","[4900, 4280, 3324]","[4900, 4280, 3324]"
0,"[1380, 3726, 3633]","[1209, 3761, 3620]","[1209, 3761, 3620]","[1209, 3761, 3620]","[1209, 3761, 3620]"
1,"[47, 542, 1466]","[47, 542, 1466]","[47, 542, 1466]","[47, 542, 1466]","[47, 542, 1466]"
0,"[257, 1631, 1239]","[257, 1631, 1239]","[257, 1631, 1239]","[61, 736, 738]","[257, 1631, 1239]"
1,"[3388, 3863, 3949]","[2166, 3863, 3949]","[3388, 3863, 3949]","[3388, 3863, 3949]","[3388, 3863, 3949]"
1,"[402, 568, 224]","[402, 568, 224]","[402, 568, 224]","[402, 568, 224]","[647, 1064, 775]"
0,"[713, 1129, 388]","[777, 1646, 1472]","[777, 1646, 1472]","[713, 1129, 388]","[713, 1129, 388]"
0,"[4845, 6130, 4370]","[3153, 4117, 1778]","[3153, 4117, 1778]","[3153, 4117, 1778]","[3153, 4117, 1778]"
0,"[927, 9047, 9047]","[927, 107, 2648]","[1282, 400, 3198]","[1282, 400, 3198]","[1282, 400, 3198]"
0,"[217, 1588, 5464]","[116, 776, 5214]","[217, 1588, 5464]","[217, 1588, 5464]","[217, 1588, 5464]"
0,"[5114, 3809, 4067]","[5114, 3809, 4067]","[5114, 3809, 4067]","[5652, 9047, 9047]","[5652, 9047, 9047]"
1,"[2217, 1477, 3478]","[2217, 1477, 3478]","[2217, 1477, 3478]","[2217, 1477, 3478]","[1760, 754, 2338]"
0,"[1548, 6268, 6598]","[2937, 7119, 6598]","[1548, 6268, 6598]","[893, 6116, 6054]","[1548, 6268, 6598]"
0,"[7026, 3540, 3941]","[7026, 3540, 3941]","[6980, 8439, 8116]","[7026, 3540, 3941]","[7420, 5192, 5154]"
0,"[2929, 8272, 8010]","[3115, 1098, 376]","[2929, 2020, 2334]","[3115, 1098, 376]","[4535, 4004, 4213]"
0,"[926, 1680, 363]","[926, 1680, 363]","[475, 1721, 886]","[926, 1680, 363]","[926, 1680, 363]"
0,"[499, 507, 2026]","[499, 507, 2026]","[499, 507, 2026]","[802, 969, 2384]","[238, 151, 967]"
1,"[269, 189, 973]","[269, 189, 973]","[269, 189, 973]","[269, 189, 973]","[269, 189, 973]"
0,"[1732, 542, 359]","[1581, 2244, 2180]","[1581, 499, 507]","[1581, 499, 507]","[1581, 499, 507]"
1,"[2054, 4124, 4433]","[2054, 4124, 4433]","[2054, 4124, 4433]","[2054, 4124, 4433]","[2054, 4124, 4433]"
0,"[7026, 3540, 3941]","[7026, 3540, 3941]","[7026, 3540, 3941]","[7026, 3540, 3941]","[7420, 5192, 5154]"
0,"[1220, 1260, 840]","[1220, 1260, 840]","[1220, 1260, 840]","[3575, 3714, 2905]","[1220, 1146, 717]"
0,"[489, 1409, 130]","[139, 130, 2]","[489, 1409, 130]","[489, 1409, 130]","[489, 1409, 130]"
1,"[246, 5189, 5771]","[246, 5189, 5771]","[246, 5189, 5771]","[246, 5189, 5771]","[8, 5032, 6287]"
1,"[5771, 6183, 693]","[5771, 6183, 693]","[5771, 6183, 693]","[5771, 6183, 693]","[269, 134, 693]"
0,"[499, 507, 2026]","[9047, 9047, 9047]","[499, 507, 2026]","[499, 507, 2026]","[499, 507, 2026]"
0,"[4114, 3425, 679]","[5103, 5166, 3208]","[4114, 3425, 679]","[4114, 3425, 679]","[4114, 3425, 679]"
0,"[7397, 4087, 1068]","[7397, 4087, 1068]","[7570, 4235, 1692]","[8005, 8399, 9047]","[7397, 4087, 9047]"
1,"[447, 82, 71]","[447, 82, 71]","[447, 82, 71]","[447, 8170, 8001]","[447, 82, 71]"
0,"[1588, 3913, 3062]","[1477, 3478, 1800]","[1477, 3478, 1800]","[1477, 3478, 1800]","[1477, 3478, 1800]"
0,"[1528, 61, 36]","[8633, 8385, 8077]","[1528, 61, 36]","[1528, 61, 36]","[1831, 187, 115]"
1,"[4610, 4293, 4933]","[4610, 4293, 4933]","[4610, 4293, 4933]","[4610, 4293, 4933]","[4610, 4293, 4933]"
0,"[4702, 922, 62]","[4702, 922, 62]","[4928, 1175, 119]","[4702, 922, 62]","[4702, 922, 62]"
1,"[778, 681, 132]","[778, 681, 132]","[778, 681, 132]","[778, 681, 132]","[1181, 1080, 706]"
0,"[2446, 699, 401]","[2446, 699, 401]","[2446, 699, 401]","[1723, 302, 48]","[2446, 699, 401]"
1,"[927, 107, 2648]","[927, 9047, 9047]","[1282, 400, 3198]","[1282, 400, 3198]","[1282, 400, 3198]"
0,"[840, 2369, 2410]","[840, 2369, 2410]","[4080, 4021, 3468]","[840, 2369, 2410]","[4080, 4021, 3468]"
0,"[778, 681, 132]","[778, 681, 132]","[778, 681, 132]","[432, 408, 260]","[778, 681, 132]"
0,"[4471, 7709, 7814]","[4471, 7709, 7814]","[1797, 6699, 7015]","[4471, 7709, 9047]","[4471, 7709, 7814]"
0,"[4320, 5844, 7275]","[4320, 5844, 7275]","[4320, 5844, 7275]","[1099, 2287, 4865]","[4320, 5844, 7275]"
0,"[312, 903, 1329]","[1712, 2557, 3170]","[1712, 2557, 3170]","[312, 903, 1329]","[312, 903, 1329]"
0,"[4087, 1068, 2573]","[4075, 455, 3166]","[4235, 1692, 2573]","[4087, 9047, 9047]","[4087, 9047, 9047]"
0,"[8671, 2811, 1581]","[4124, 2811, 1581]","[4579, 3158, 2395]","[4124, 2811, 1581]","[4579, 3158, 2395]"
1,"[1943, 3416, 3714]","[1943, 3416, 3714]","[1943, 3416, 3714]","[1943, 3416, 3714]","[1184, 2285, 2366]"
0,"[2366, 2446, 699]","[2147, 2848, 658]","[2366, 2446, 699]","[2366, 2446, 699]","[2366, 2446, 699]"
1,"[3742, 3374, 565]","[3742, 3374, 565]","[3742, 3374, 565]","[3742, 3374, 565]","[3887, 1747, 194]"
0,"[8643, 1329, 6663]","[8022, 8467, 8781]","[1437, 2153, 6876]","[1437, 2153, 6876]","[1437, 2153, 6876]"
0,"[4705, 4900, 4280]","[4705, 4900, 4280]","[4705, 4900, 4280]","[5852, 6623, 6244]","[4705, 4900, 5880]"
0,"[7026, 3540, 3941]","[7026, 3540, 3941]","[6980, 3420, 3804]","[7026, 3540, 3941]","[7420, 5192, 5154]"
1,"[366, 352, 1628]","[366, 352, 1628]","[366, 525, 1933]","[366, 352, 1628]","[366, 352, 1628]"
1,"[7026, 3540, 3941]","[7026, 3540, 3941]","[7026, 3540, 3941]","[7420, 5192, 5154]","[7026, 3540, 3941]"
0,"[499, 507, 2026]","[499, 507, 2026]","[499, 507, 2026]","[499, 507, 2026]","[802, 969, 2384]"
0,"[331, 633, 1450]","[8053, 8178, 1450]","[331, 633, 1450]","[1631, 2122, 2985]","[1631, 2122, 2985]"
1,"[4832, 2580, 2929]","[4832, 2580, 2929]","[4832, 2580, 2929]","[4832, 2580, 2929]","[4832, 2580, 2929]"
0,"[1745, 8158, 8056]","[1127, 724, 668]","[1745, 1303, 1010]","[1745, 1303, 1010]","[1745, 1303, 1010]"
1,"[1220, 1260, 840]","[3575, 3714, 2905]","[1220, 1260, 840]","[1220, 1640, 1055]","[3575, 4381, 4081]"
1,"[976, 2648, 5437]","[976, 2648, 5437]","[976, 2648, 5437]","[976, 2648, 5437]","[2319, 4055, 5913]"
1,"[291, 140, 555]","[291, 140, 555]","[291, 140, 555]","[291, 140, 555]","[291, 140, 555]"
0,"[5437, 7046, 6282]","[5437, 7046, 6282]","[5437, 7046, 6282]","[5437, 7046, 6282]","[5872, 7114, 6951]"
0,"[6801, 6738, 7972]","[6801, 6738, 7972]","[6801, 6738, 7972]","[4660, 4865, 7701]","[6801, 6738, 7972]"
0,"[499, 507, 2026]","[2244, 2180, 3453]","[499, 507, 2026]","[499, 507, 2026]","[499, 507, 2026]"
0,"[8008, 8256, 1684]","[496, 629, 1684]","[8008, 8256, 1684]","[2684, 3866, 4736]","[496, 629, 1684]"
0,"[8088, 9047, 496]","[135, 1222, 411]","[70, 1344, 496]","[70, 1344, 496]","[70, 1344, 496]"
0,"[777, 1646, 1472]","[713, 1129, 388]","[777, 1646, 1472]","[777, 1646, 1472]","[713, 1129, 388]"
0,"[3464, 479, 2849]","[5620, 1669, 3716]","[3464, 479, 2849]","[3464, 479, 2849]","[3464, 479, 2849]"
0,"[0, 1622, 4905]","[0, 1622, 4905]","[0, 1622, 4905]","[91, 2979, 4897]","[0, 1622, 4905]"
1,"[1984, 1943, 3416]","[1984, 1943, 3416]","[4898, 1943, 3416]","[1984, 1943, 3416]","[3130, 3638, 4433]"
1,"[1374, 2733, 63]","[1374, 2733, 63]","[1374, 2733, 63]","[1374, 2733, 63]","[1374, 2733, 63]"
1,"[681, 132, 61]","[681, 132, 61]","[681, 132, 61]","[681, 132, 61]","[2358, 947, 529]"
0,"[7397, 4087, 1068]","[7397, 4087, 1068]","[7570, 4235, 1692]","[8005, 8399, 8300]","[7397, 4087, 9047]"
0,"[1501, 488, 1600]","[1501, 488, 1600]","[1501, 488, 1600]","[4394, 2705, 3831]","[1501, 488, 1600]"
0,"[8221, 2461, 2469]","[1272, 2461, 2469]","[1272, 2461, 2469]","[1272, 2461, 2469]","[3972, 4115, 3971]"
0,"[7397, 4087, 1068]","[7479, 4087, 1068]","[7570, 4235, 1692]","[7397, 4087, 9047]","[7397, 4087, 9047]"
0,"[1631, 3677, 4702]","[2979, 4705, 4900]","[2979, 4705, 4900]","[2979, 4705, 4900]","[2979, 4705, 4900]"
0,"[2366, 2446, 699]","[2366, 2446, 699]","[2147, 2848, 658]","[2366, 2446, 699]","[2366, 2446, 699]"
0,"[1584, 1372, 819]","[1584, 1372, 819]","[1584, 1372, 819]","[3424, 2103, 1107]","[1584, 1372, 819]"
0,"[357, 1725, 3443]","[52, 430, 2108]","[52, 430, 2108]","[52, 430, 2108]","[52, 430, 2108]"
0,"[2682, 1507, 462]","[237, 143, 55]","[2682, 1062, 130]","[2682, 1507, 462]","[2682, 1507, 462]"
1,"[5237, 320, 607]","[5237, 320, 607]","[5237, 320, 607]","[5237, 320, 607]","[6654, 1824, 2767]"
0,"[1851, 3598, 1498]","[1284, 2683, 320]","[1851, 3598, 1498]","[1851, 3598, 1498]","[1851, 3598, 1498]"
0,"[713, 1129, 388]","[777, 1646, 1472]","[777, 1646, 1472]","[713, 1129, 388]","[713, 1129, 323]"
0,"[248, 259, 333]","[154, 56, 110]","[248, 259, 333]","[8609, 8931, 333]","[1890, 2317, 333]"
0,"[8195, 8372, 3816]","[3981, 4796, 3816]","[3981, 4796, 3816]","[3981, 4796, 3816]","[2416, 3944, 3168]"
0,"[3464, 479, 2849]","[3464, 479, 2849]","[3464, 479, 2849]","[5620, 1669, 3716]","[3464, 479, 2849]"
0,"[1851, 3598, 1498]","[1284, 2683, 320]","[1851, 3598, 1498]","[1284, 2683, 320]","[1851, 3598, 1498]"
0,"[2683, 2337, 6521]","[3453, 3195, 7234]","[1778, 1593, 6521]","[1778, 1593, 6521]","[1778, 1593, 6521]"
0,"[1284, 2683, 320]","[1284, 2683, 320]","[1851, 3598, 1498]","[1284, 2683, 320]","[1851, 3598, 1498]"
0,"[1663, 2737, 2366]","[4124, 4433, 3714]","[4124, 4433, 3714]","[4124, 4433, 3714]","[4124, 4433, 3714]"
1,"[1950, 1675, 3798]","[1950, 1675, 3798]","[1950, 1675, 3798]","[1950, 1675, 3798]","[443, 430, 2349]"
0,"[1970, 2674, 4189]","[1970, 2674, 4189]","[1970, 2674, 4189]","[46, 186, 1270]","[1970, 2674, 4189]"
0,"[3368, 2278, 3131]","[2094, 340, 914]","[2094, 340, 914]","[2094, 340, 914]","[2094, 340, 914]"
0,"[1504, 55, 29]","[1504, 55, 29]","[8055, 8074, 8111]","[2287, 375, 443]","[1504, 55, 29]"
1,"[1477, 3478, 1800]","[1477, 3478, 1800]","[8663, 3478, 1800]","[1477, 3478, 1800]","[1477, 3478, 1800]"
1,"[322, 1548, 6268]","[322, 1548, 6268]","[322, 1548, 6268]","[322, 1548, 6268]","[1056, 3018, 7194]"
1,"[3275, 2634, 462]","[3275, 2634, 462]","[3275, 2634, 462]","[4611, 2634, 462]","[1475, 1139, 55]"
1,"[2447, 1691, 2025]","[2447, 1691, 2025]","[2447, 1691, 2025]","[2447, 1691, 2025]","[5011, 3450, 4505]"
0,"[1950, 1675, 5152]","[1950, 1675, 5152]","[1950, 1675, 5152]","[443, 430, 3046]","[1950, 1675, 5152]"
1,"[823, 1640, 96]","[823, 1640, 96]","[823, 1640, 96]","[823, 1640, 96]","[3416, 4381, 2687]"
0,"[489, 1209, 3761]","[489, 1209, 3761]","[489, 1380, 3726]","[458, 915, 2968]","[458, 915, 2968]"
0,"[1284, 2683, 320]","[1284, 8915, 8291]","[1284, 2683, 320]","[1851, 3598, 1498]","[1851, 3598, 1498]"
0,"[2671, 2122, 2767]","[2671, 2122, 2767]","[447, 207, 570]","[2671, 2122, 2767]","[2671, 2122, 2767]"
0,"[1954, 2554, 2341]","[1954, 2554, 2341]","[1954, 2554, 8641]","[993, 2369, 3478]","[1954, 2554, 2341]"
1,"[1351, 2682, 1507]","[1351, 2682, 1507]","[1351, 2682, 1507]","[1351, 237, 143]","[1288, 2105, 1847]"
0,"[425, 860, 1148]","[677, 1365, 1584]","[677, 1365, 1584]","[677, 1365, 1584]","[677, 1365, 1584]"
0,"[182, 322, 1548]","[182, 322, 1548]","[182, 322, 1548]","[182, 322, 1548]","[1395, 1643, 3250]"
0,"[4832, 2580, 2929]","[4832, 2580, 2929]","[4832, 2580, 3115]","[4832, 2580, 8135]","[3843, 2192, 4535]"
1,"[3488, 3239, 922]","[3488, 3239, 922]","[3488, 3239, 922]","[3488, 3239, 922]","[5301, 5121, 2819]"
0,"[927, 107, 2648]","[927, 107, 8107]","[927, 107, 2648]","[1282, 400, 3198]","[1282, 400, 3198]"
0,"[366, 352, 1628]","[633, 420, 1989]","[366, 352, 1628]","[366, 525, 1933]","[366, 352, 1628]"
0,"[1685, 4158, 3631]","[1184, 2679, 1677]","[1184, 2679, 1677]","[1184, 2679, 1677]","[1184, 2679, 1677]"
0,"[777, 1646, 1472]","[777, 8437, 8007]","[777, 1646, 1472]","[777, 1646, 1472]","[713, 1129, 388]"
0,"[2226, 677, 1365]","[2226, 677, 1365]","[2226, 677, 1365]","[8012, 677, 1365]","[2636, 948, 1458]"
0,"[660, 95, 70]","[1255, 594, 1132]","[660, 95, 70]","[660, 95, 70]","[660, 95, 70]"
0,"[462, 515, 1675]","[462, 515, 1675]","[9047, 9047, 9047]","[462, 515, 1675]","[462, 515, 1675]"
1,"[7458, 5166, 2544]","[7458, 5166, 2544]","[7458, 5166, 2544]","[7458, 5166, 2544]","[6372, 2516, 139]"
0,"[6254, 7521, 7397]","[5739, 7478, 7479]","[6254, 7521, 7570]","[6254, 7521, 7397]","[6254, 7521, 7397]"
1,"[269, 428, 273]","[8012, 428, 273]","[8012, 428, 273]","[269, 428, 273]","[269, 428, 273]"
0,"[2443, 2094, 340]","[2443, 2094, 340]","[2443, 2094, 340]","[3390, 3354, 1682]","[2443, 2094, 340]"
1,"[7026, 3540, 3941]","[7026, 3540, 3941]","[7026, 3540, 3941]","[8788, 3540, 3941]","[7026, 3540, 3941]"
1,"[3306, 3816, 2622]","[3306, 3816, 2622]","[3306, 3816, 2622]","[3306, 3816, 2622]","[3306, 3816, 2622]"
0,"[4807, 4316, 2367]","[4807, 4316, 2367]","[3334, 2066, 1285]","[4807, 4316, 2367]","[4807, 4316, 2367]"
1,"[182, 322, 1548]","[182, 1187, 2937]","[182, 322, 1548]","[182, 322, 1548]","[182, 322, 1548]"
0,"[64, 61, 36]","[1528, 61, 36]","[8497, 61, 36]","[1528, 61, 36]","[1831, 187, 115]"
1,"[3670, 4518, 3729]","[3670, 4518, 3729]","[3670, 4518, 3729]","[3670, 4518, 3729]","[3670, 4518, 3729]"
0,"[2592, 4279, 8346]","[2592, 3595, 2025]","[4891, 4899, 3301]","[4891, 4899, 3301]","[4891, 4899, 3301]"
0,"[489, 1209, 3761]","[8325, 8228, 3761]","[489, 1209, 3761]","[489, 1209, 3761]","[458, 915, 2968]"
0,"[8022, 8467, 6663]","[903, 1329, 6663]","[8022, 8467, 6663]","[2727, 3487, 6876]","[2727, 3487, 6876]"
1,"[95, 70, 1344]","[95, 70, 1344]","[95, 70, 1344]","[95, 70, 1344]","[95, 70, 1344]"
0,"[8643, 1646, 1472]","[777, 1646, 1472]","[777, 1646, 1472]","[713, 1129, 388]","[777, 1646, 1472]"
0,"[2019, 6724, 6818]","[3109, 7194, 7308]","[2019, 6724, 6818]","[2019, 6724, 6818]","[2019, 6724, 6818]"
0,"[1801, 2677, 2451]","[1801, 2677, 2451]","[1269, 1964, 2708]","[1801, 2677, 2451]","[1801, 2677, 2451]"
0,"[1260, 840, 2369]","[1260, 840, 2369]","[1260, 840, 2369]","[1640, 1055, 1908]","[1260, 840, 2369]"
0,"[2446, 699, 401]","[1723, 302, 48]","[2446, 699, 401]","[2446, 699, 401]","[2446, 699, 401]"
0,"[840, 2369, 2410]","[2905, 2369, 2410]","[840, 2369, 2410]","[840, 2369, 2410]","[4080, 4021, 3468]"
0,"[7397, 4087, 1068]","[7397, 4087, 1068]","[7570, 4235, 1692]","[7397, 4087, 9047]","[7397, 4087, 9047]"
0,"[683, 726, 740]","[683, 726, 740]","[683, 726, 740]","[2429, 1766, 1814]","[973, 1063, 783]"
0,"[276, 668, 5307]","[276, 668, 5307]","[276, 668, 5307]","[548, 844, 5857]","[276, 668, 5307]"
0,"[3981, 4796, 3816]","[3981, 4796, 3816]","[3981, 4796, 3816]","[2416, 3944, 3168]","[2416, 3944, 3168]"
1,"[6254, 7521, 7397]","[6254, 7521, 7397]","[6254, 7521, 7397]","[6254, 7521, 7397]","[6254, 7521, 7397]"
1,"[1504, 55, 29]","[1504, 55, 29]","[1504, 55, 29]","[3679, 1376, 29]","[1706, 174, 119]"
0,"[1260, 840, 2369]","[1260, 840, 2369]","[1260, 840, 2369]","[8047, 1055, 1908]","[1640, 1055, 1908]"
0,"[458, 915, 2968]","[489, 1209, 3761]","[489, 1209, 3761]","[489, 1209, 3761]","[489, 1209, 3761]"
0,"[1260, 840, 2369]","[1260, 840, 2369]","[1260, 840, 2369]","[2911, 2081, 1908]","[1146, 717, 2049]"
0,"[7397, 4087, 1068]","[7570, 4235, 1692]","[2604, 4087, 9047]","[7397, 4087, 9047]","[7397, 4087, 9047]"
0,"[7397, 4087, 1068]","[7570, 4235, 1692]","[7397, 4087, 8300]","[7397, 4087, 8300]","[7397, 4087, 9047]"
1,"[7521, 7397, 4087]","[7521, 7397, 4087]","[7521, 7570, 4235]","[7521, 7397, 4087]","[5971, 5954, 1149]"
0,"[4845, 5203, 3052]","[3153, 4117, 1778]","[3153, 5049, 2683]","[3153, 4117, 1778]","[3153, 4117, 1778]"
0,"[1574, 2183, 3837]","[1970, 2674, 4189]","[1970, 2674, 4189]","[1970, 2674, 4189]","[1970, 2674, 4189]"
1,"[1984, 1943, 3416]","[1984, 1943, 3416]","[1984, 1943, 3416]","[1984, 1943, 3416]","[1984, 1943, 3416]"
1,"[679, 2642, 1513]","[679, 2642, 1513]","[679, 4339, 3892]","[679, 2642, 1513]","[679, 2642, 1513]"
0,"[1151, 496, 629]","[1151, 496, 629]","[1151, 496, 629]","[3606, 1645, 2516]","[1151, 496, 629]"
0,"[1551, 1760, 331]","[1551, 1760, 331]","[1551, 1760, 331]","[1761, 1107, 395]","[1551, 1760, 331]"
0,"[6598, 6236, 1220]","[6598, 6236, 1220]","[7342, 7020, 2439]","[6598, 6236, 1220]","[6598, 6236, 1220]"
0,"[8086, 352, 1628]","[633, 420, 1989]","[366, 352, 1628]","[366, 352, 1628]","[366, 352, 1628]"
0,"[2929, 2020, 2334]","[5357, 4004, 4213]","[2929, 2020, 2334]","[2929, 2020, 2334]","[2929, 2020, 2334]"
0,"[1477, 3478, 1800]","[1477, 3478, 1800]","[816, 2737, 1886]","[1477, 3478, 1800]","[1477, 3478, 1800]"
1,"[60, 0, 1622]","[60, 0, 1622]","[60, 0, 1622]","[60, 0, 1622]","[195, 22, 2570]"
0,"[8477, 8467, 6663]","[1437, 2153, 6876]","[1437, 2153, 6876]","[1437, 2153, 6876]","[1437, 2153, 6876]"
0,"[1841, 3079, 373]","[1841, 3079, 373]","[1841, 3079, 373]","[540, 788, 89]","[1841, 3079, 373]"
0,"[404, 542, 3007]","[404, 542, 3007]","[720, 499, 3739]","[404, 542, 3007]","[404, 542, 3007]"
1,"[1151, 496, 629]","[1151, 496, 629]","[1151, 496, 629]","[1151, 2684, 3866]","[3606, 1645, 2516]"
0,"[7623, 7540, 5624]","[7623, 7540, 5624]","[7473, 7187, 4711]","[7623, 7540, 5624]","[7623, 7540, 5624]"
0,"[8124, 1631, 1239]","[8015, 8224, 1239]","[257, 1631, 1239]","[257, 1631, 1239]","[2668, 3110, 3798]"
0,"[111, 139, 627]","[12, 24, 207]","[111, 139, 627]","[111, 139, 627]","[111, 139, 627]"
0,"[34, 58, 1631]","[461, 477, 2671]","[461, 477, 2671]","[461, 477, 2671]","[461, 477, 2671]"
1,"[571, 2001, 2100]","[571, 2001, 2100]","[571, 2001, 2100]","[571, 2001, 2100]","[571, 2001, 2100]"
